mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__kernel,param_clf__gamma,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,mechanism,model,resample,fingerprint,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__learning_rate,param_clf__min_child_weight
3.4829831600189207,0.6590072540538787,0.14201064109802247,0.03137744403410935,0.1,linear,,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.9375,0.8625,0.9,0.9125,0.875,0.8975000000000002,0.026692695630078266,1,0.8,0.6296296296296297,0.75,0.8235294117647058,0.6666666666666666,0.7339651416122004,0.07490588960078416,10,0.9411764705882353,0.9444444444444444,0.8333333333333334,0.7777777777777778,0.8888888888888888,0.877124183006536,0.06412560829495964,7,0.8648648648648649,0.7555555555555555,0.7894736842105263,0.8,0.7619047619047619,0.7943597733071417,0.038950607286179634,1,4,svm,smote,ecfp2,,,,,,
2.7736980438232424,0.27638141253087267,0.12200798988342285,0.0273223133080753,1.0,linear,,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.9125,0.875,0.925,0.825,0.825,0.8725000000000002,0.04213074886588182,15,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6,0.5909090909090909,0.6937373737373738,0.09658467333142727,15,0.8235294117647058,0.8888888888888888,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.7869281045751634,0.08067064787249854,15,0.8,0.7619047619047619,0.8333333333333334,0.631578947368421,0.65,0.7353634085213032,0.08067039662261917,11,4,svm,smote,ecfp2,,,,,,
3.0576879024505614,0.3134224509289788,0.12950005531311035,0.03254660901137245,10.0,linear,,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.9125,0.8625,0.925,0.825,0.825,0.8700000000000001,0.04227883631321943,16,0.7777777777777778,0.6521739130434783,0.8333333333333334,0.6,0.5909090909090909,0.6908388230127361,0.09756606552969231,16,0.8235294117647058,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.7758169934640523,0.06881704281419543,18,0.8,0.7317073170731707,0.8333333333333334,0.631578947368421,0.65,0.7293239195549851,0.07958028761776816,12,4,svm,smote,ecfp2,,,,,,
3.132186698913574,0.3482154129456426,0.11403875350952149,0.020011899707156354,100.0,linear,,"{'clf__C': 100, 'clf__kernel': 'linear'}",0.9125,0.8625,0.925,0.825,0.825,0.8700000000000001,0.04227883631321943,16,0.7777777777777778,0.6521739130434783,0.8333333333333334,0.6,0.5909090909090909,0.6908388230127361,0.09756606552969231,16,0.8235294117647058,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.7758169934640523,0.06881704281419543,18,0.8,0.7317073170731707,0.8333333333333334,0.631578947368421,0.65,0.7293239195549851,0.07958028761776816,12,4,svm,smote,ecfp2,,,,,,
3.297691488265991,0.40748569749658475,0.11943364143371582,0.018489796892824234,1000.0,linear,,"{'clf__C': 1000, 'clf__kernel': 'linear'}",0.9125,0.8625,0.925,0.825,0.825,0.8700000000000001,0.04227883631321943,16,0.7777777777777778,0.6521739130434783,0.8333333333333334,0.6,0.5909090909090909,0.6908388230127361,0.09756606552969231,16,0.8235294117647058,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.7758169934640523,0.06881704281419543,18,0.8,0.7317073170731707,0.8333333333333334,0.631578947368421,0.65,0.7293239195549851,0.07958028761776816,12,4,svm,smote,ecfp2,,,,,,
9.232176971435546,0.6942297432075482,0.27727737426757815,0.0729203421677966,0.1,rbf,1.0,"{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'}",0.7875,0.775,0.775,0.775,0.775,0.7775,0.004999999999999982,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,svm,smote,ecfp2,,,,,,
7.648583126068115,0.7322647391498559,0.36336417198181153,0.03850818392947175,0.1,rbf,0.1,"{'clf__C': 0.1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.825,0.7875,0.8125,0.8375,0.7875,0.8099999999999999,0.020000000000000007,19,1.0,0.6,0.7142857142857143,1.0,0.6666666666666666,0.7961904761904762,0.17032448690368118,5,0.17647058823529413,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.2019607843137255,0.06579592837475498,25,0.3,0.2608695652173913,0.4,0.43478260869565216,0.19047619047619047,0.31722567287784675,0.08967651683157199,25,4,svm,smote,ecfp2,,,,,,
8.904203987121582,0.5434902614346004,0.3988803863525391,0.055926942449803035,0.1,rbf,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.825,0.7375,0.7375,0.725,0.6875,0.7424999999999999,0.04513867521316946,25,0.5555555555555556,0.46153846153846156,0.45454545454545453,0.4473684210526316,0.4,0.4638015785384207,0.050695719577369826,20,0.8823529411764706,1.0,0.8333333333333334,0.9444444444444444,0.7777777777777778,0.8875816993464053,0.07861090563129744,6,0.6818181818181818,0.631578947368421,0.5882352941176471,0.6071428571428571,0.5283018867924528,0.607415433447912,0.05049069157183784,19,4,svm,smote,ecfp2,,,,,,
9.286743783950806,0.2495703906442625,0.30599112510681153,0.04417765437240848,0.1,rbf,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.7,0.575,0.6625,0.6875,0.5125,0.6275000000000001,0.07219764539096826,28,0.4146341463414634,0.34615384615384615,0.38461538461538464,0.4186046511627907,0.3018867924528302,0.373178964145263,0.044103849338073195,27,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0.07027283689263066,1,0.5862068965517241,0.5142857142857142,0.5263157894736842,0.5901639344262295,0.4507042253521127,0.5335353120178928,0.05150680368654517,22,4,svm,smote,ecfp2,,,,,,
9.128452777862549,0.18365867308959002,0.35705018043518066,0.11139529678621252,0.1,rbf,0.0001,"{'clf__C': 0.1, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'}",0.7,0.5625,0.6375,0.675,0.5125,0.6175,0.07008922884438093,29,0.4146341463414634,0.33962264150943394,0.36585365853658536,0.4090909090909091,0.3018867924528302,0.3662176295862444,0.042492727994822954,28,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0.07027283689263066,1,0.5862068965517241,0.5070422535211268,0.5084745762711864,0.5806451612903226,0.4507042253521127,0.5266146225972944,0.050882345756474275,23,4,svm,smote,ecfp2,,,,,,
